AMDewptCalPl,ScenRelAMIns,CombMoisture,SynForcng,WindFieldPln,ScenRel3_4,R5Fcst,ScnRelPlFcst,RaoContMoist,CapChange,CombClouds,AMInstabMt,MvmtFeatures,PlainsFcst,WindAloft,LowLLapse,Boundaries,InsSclInScen,AreaMoDryAir,AreaMeso_ALS,SubjVertMo,N34StarFcst,MorningBound,MountainFcst,CapInScen,ScenRelAMCIN,InsInMt,MeanRH,SfcWndShfDis,IRCloudCover,TempDis,VISCloudCov,InsChange,SatContMoist,QGVertMotion,CombVerMo,WndHodograph,MidLLapse,CompPlFcst,LLIW,Date,LIfr12ZDENSd,N0_7muVerMo,MorningCIN,CldShadeConv,LatestCIN,RHRatio,LoLevMoistAd,AMInsWliScen,OutflowFrMt,Dewpoints,CldShadeOth,WindFieldMt,CurPropConv,AMCINInScen,Scenario
Instability,G,Neutral,SigPositive,LV,GJ,SIG,G,VeryWet,LittleChange,Clear,Weak,StrongFront,XNIL,AllElse,CloseToDryAd,Weak,Average,Dry,Down,Neutral,XNIL,Weak,SIG,Average,CThruK,Strong,Dry,DryLine,Clear,None,Clear,LittleChange,Neutral,Down,Down,Other,CloseToDryAd,LittleChange,Moderate,May15_Jun14,N1GtLIGt_4,Neutral,PartInhibit,Some,Stifling,MoistMDryL,Neutral,Average,None,LowEvrywhere,Clear,LVorOther,Slight,Average,G
Neutral,ABI,Wet,NegToPos,LongAnticyc,B,XNIL,B,VeryWet,Decreasing,PC,None,NoMajor,XNIL,SWQuad,Steep,Weak,LessUnstable,Wet,Neutral,Down,XNIL,None,XNIL,LessThanAve,AB,None,Average,DenvCyclone,Clear,Other,PC,Decreasing,Wet,Neutral,Neutral,DCVZFavor,CloseToDryAd,DecCapIncIns,Weak,May15_Jun14,N1GtLIGt_4,Down,Stifling,None,None,DryMMoistL,Negative,Average,None,LowMtsHighPl,PC,Westerly,Moderate,LessThanAve,B
Stability,K,Neutral,SigPositive,LV,ACEFK,XNIL,K,Neutral,LittleChange,Clear,Weak,StrongFront,XNIL,NWQuad,ModerateOrLe,Weak,Average,Wet,Neutral,Neutral,XNIL,None,XNIL,Average,CThruK,Strong,Average,E_W_N,Clear,QStationary,Clear,LittleChange,VeryWet,WeakUp,Neutral,Westerly,ModerateOrLe,LittleChange,Unfavorable,Aug20_Sep15,N1GtLIGt_4,Down,PartInhibit,Marked,None,Other,Neutral,Average,Strong,LowMtsHighPl,Clear,Westerly,None,LessThanAve,K
Neutral,H,Dry,LittleChange,E_NE,HI,SIG,H,Dry,Decreasing,Clear,Weak,OtherRapid,XNIL,SWQuad,ModerateOrLe,None,Average,Dry,WeakUp,Down,XNIL,None,SIG,LessThanAve,CThruK,Strong,VeryMoist,None,Clear,None,Clear,LittleChange,Neutral,Neutral,WeakUp,Other,CloseToDryAd,DecCapIncIns,Unfavorable,May15_Jun14,N1GtLIGt_4,WeakUp,None,Some,PartInhibit,DryMMoistL,Neutral,MoreUnstable,None,Other,Clear,LVorOther,None,LessThanAve,H
Neutral,CDEJ,Neutral,LittleChange,LV,ACEFK,XNIL,E,Dry,Increasing,Cloudy,None,NoMajor,XNIL,SWQuad,CloseToDryAd,None,LessUnstable,Neutral,Neutral,WeakUp,XNIL,Weak,XNIL,LessThanAve,CThruK,None,Average,None,Cloudy,None,Clear,LittleChange,Dry,Down,Neutral,DCVZFavor,ModerateOrLe,IncCapDecIns,Weak,Aug11_Aug20,N1GtLIGt_4,StrongUp,None,None,None,MoistMDryL,Negative,LessUnstable,None,LowSHighN,Cloudy,LVorOther,Slight,LessThanAve,E
Stability,ABI,Dry,PosToNeg,SEQuad,B,SIG,B,Dry,Decreasing,Clear,Strong,NoMajor,SIG,AllElse,Stable,Strong,LessUnstable,Wet,StrongUp,Neutral,SIG,Weak,SIG,LessThanAve,AB,Strong,Dry,DenvCyclone,PC,Other,Clear,LittleChange,Dry,StrongUp,StrongUp,Westerly,ModerateOrLe,DecCapIncIns,Strong,May15_Jun14,N5GtLIGt_8,WeakUp,PartInhibit,Some,None,Other,Negative,Average,Strong,LowNHighS,Clear,Westerly,Strong,LessThanAve,B
Neutral,ABI,VeryWet,SigPositive,LV,HI,XNIL,I,VeryWet,LittleChange,Clear,None,NoMajor,XNIL,SWQuad,Steep,Weak,LessUnstable,VeryWet,Neutral,Neutral,XNIL,None,XNIL,LessThanAve,CThruK,None,VeryMoist,E_W_S,Clear,Moving,PC,LittleChange,Neutral,Neutral,Neutral,Other,ModerateOrLe,LittleChange,Weak,Aug11_Aug20,N1GtLIGt_4,Neutral,None,None,None,DryMMoistL,WeakPos,LessUnstable,None,LowSHighN,Clear,LVorOther,Moderate,LessThanAve,I
Neutral,H,Wet,SigPositive,E_NE,HI,SIG,H,VeryWet,LittleChange,Clear,Weak,MarkedUpper,XNIL,LV,Stable,Strong,LessUnstable,Neutral,Neutral,Neutral,XNIL,Strong,SIG,MoreThanAve,CThruK,Strong,Average,Other,Clear,Moving,PC,Decreasing,Wet,Neutral,Neutral,DCVZFavor,Steep,LittleChange,Unfavorable,Jul16_Aug10,N1GtLIGt_4,Neutral,PartInhibit,Some,None,DryMMoistL,Negative,Average,Weak,LowMtsHighPl,Clear,LVorOther,None,MoreThanAve,H
Stability,ABI,Dry,SigNegative,LV,HI,SIG,I,Dry,Increasing,Cloudy,Weak,NoMajor,XNIL,AllElse,ModerateOrLe,None,LessUnstable,Neutral,WeakUp,StronUp,XNIL,None,SIG,MoreThanAve,CThruK,Weak,Average,MovingFtorOt,Cloudy,QStationary,PC,Decreasing,Neutral,Neutral,WeakUp,Other,ModerateOrLe,IncCapDecIns,Weak,Jul16_Aug10,LILt_8,Down,Stifling,None,Stifling,Other,Negative,Average,None,LowSHighN,Cloudy,LVorOther,None,MoreThanAve,I
Stability,CDEJ,Neutral,NegToPos,LV,ACEFK,XNIL,E,Dry,Increasing,Clear,None,NoMajor,XNIL,SWQuad,ModerateOrLe,Weak,Average,Neutral,WeakUp,Neutral,XNIL,None,XNIL,MoreThanAve,CThruK,None,Average,None,Clear,None,Clear,Increasing,Wet,StrongUp,WeakUp,StrongWest,Steep,IncCapDecIns,Unfavorable,Jul2_Jul15,N1GtLIGt_4,WeakUp,PartInhibit,None,PartInhibit,MoistMDryL,WeakPos,Average,None,LowNHighS,Clear,Westerly,None,Average,E
Instability,CDEJ,Neutral,LittleChange,SEQuad,GJ,SIG,J,Neutral,Decreasing,Clear,Strong,OtherRapid,SIG,LV,CloseToDryAd,Weak,MoreUnstable,Neutral,WeakUp,StronUp,SIG,None,SIG,LessThanAve,CThruK,Strong,VeryMoist,None,PC,None,Clear,LittleChange,Wet,StrongUp,WeakUp,Other,Steep,DecCapIncIns,Unfavorable,Jul2_Jul15,N5GtLIGt_8,Down,PartInhibit,Some,PartInhibit,MoistMDryL,WeakPos,MoreUnstable,Weak,LowAtStation,Clear,LVorOther,None,Average,J
Neutral,CDEJ,VeryWet,LittleChange,DenvCyclone,ACEFK,XNIL,E,VeryWet,Increasing,PC,Weak,StrongFront,XNIL,SWQuad,CloseToDryAd,Weak,MoreUnstable,Neutral,Down,Down,XNIL,Weak,XNIL,Average,CThruK,Strong,Dry,DenvCyclone,PC,None,PC,Decreasing,Neutral,Neutral,Down,StrongWest,Steep,IncCapDecIns,Moderate,Aug20_Sep15,LILt_8,Down,PartInhibit,Marked,None,MoistMDryL,Negative,MoreUnstable,Strong,HighEvrywher,PC,Westerly,Strong,Average,E
Stability,ABI,Neutral,LittleChange,DenvCyclone,B,SVR,B,Dry,LittleChange,Clear,None,NoMajor,SVR,SWQuad,ModerateOrLe,Weak,Average,Dry,Down,Down,SVR,Weak,XNIL,LessThanAve,AB,Weak,Dry,DenvCyclone,PC,Other,Clear,LittleChange,Dry,Neutral,Down,DCVZFavor,ModerateOrLe,LittleChange,Strong,Aug11_Aug20,LILt_8,Down,PartInhibit,Some,None,DryMMoistL,Neutral,Average,Weak,LowMtsHighPl,Clear,LVorOther,Strong,LessThanAve,B
Neutral,G,Neutral,LittleChange,LongAnticyc,GJ,SVR,G,Neutral,Decreasing,Clear,None,MarkedUpper,SVR,SWQuad,CloseToDryAd,Weak,MoreUnstable,Neutral,Down,Neutral,SVR,None,XNIL,LessThanAve,CThruK,None,Dry,DryLine,Cloudy,Other,Clear,Increasing,Wet,Down,Down,DCVZFavor,CloseToDryAd,DecCapIncIns,Moderate,Aug20_Sep15,N1GtLIGt_4,WeakUp,PartInhibit,None,PartInhibit,Other,StrongPos,MoreUnstable,None,LowEvrywhere,Clear,Westerly,Moderate,Average,G
Instability,H,Wet,SigNegative,E_NE,HI,SIG,H,Wet,Increasing,PC,Weak,MarkedUpper,XNIL,NWQuad,Stable,Weak,LessUnstable,Neutral,Neutral,Down,XNIL,None,SIG,Average,CThruK,Strong,Average,MovingFtorOt,Clear,None,PC,Decreasing,Neutral,Neutral,Neutral,StrongWest,ModerateOrLe,IncCapDecIns,Weak,Aug20_Sep15,LIGt0,Neutral,PartInhibit,Marked,Stifling,DryMMoistL,Negative,LessUnstable,Strong,Other,PC,LVorOther,None,LessThanAve,H
Stability,CDEJ,Neutral,SigPositive,LongAnticyc,ACEFK,SIG,C,Neutral,LittleChange,Clear,None,NoMajor,XNIL,NWQuad,CloseToDryAd,Strong,LessUnstable,Wet,Neutral,Neutral,XNIL,None,SIG,LessThanAve,CThruK,Strong,Dry,E_W_S,Clear,None,Clear,Decreasing,Neutral,Neutral,Neutral,StrongWest,ModerateOrLe,LittleChange,Moderate,Jun15_Jul1,N1GtLIGt_4,Neutral,None,Marked,PartInhibit,Other,Negative,LessUnstable,Weak,LowAtStation,Clear,LVorOther,Moderate,LessThanAve,C
Neutral,CDEJ,VeryWet,SigNegative,SEQuad,D,SIG,D,Dry,Decreasing,Clear,Weak,MarkedUpper,XNIL,NWQuad,ModerateOrLe,Weak,MoreUnstable,VeryWet,WeakUp,Neutral,XNIL,Weak,SIG,LessThanAve,CThruK,Strong,VeryMoist,DenvCyclone,PC,Other,Clear,LittleChange,Dry,Neutral,WeakUp,StrongWest,CloseToDryAd,DecCapIncIns,Weak,Aug20_Sep15,N5GtLIGt_8,StrongUp,PartInhibit,Marked,PartInhibit,DryMMoistL,WeakPos,MoreUnstable,None,LowEvrywhere,PC,Westerly,Moderate,LessThanAve,D
Instability,CDEJ,Dry,LittleChange,LV,GJ,SVR,J,Neutral,Increasing,PC,Strong,NoMajor,SVR,LV,Steep,Strong,MoreUnstable,Dry,Neutral,Neutral,SVR,Strong,SVR,MoreThanAve,CThruK,Strong,Average,Other,PC,Other,PC,LittleChange,Dry,WeakUp,Neutral,StrongWest,Steep,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,Neutral,PartInhibit,Marked,None,MoistMDryL,Negative,Average,Strong,LowMtsHighPl,PC,LVorOther,Moderate,Average,J
Neutral,CDEJ,Dry,LittleChange,LV,GJ,SVR,J,Neutral,Increasing,PC,Strong,NoMajor,SVR,LV,Stable,Weak,MoreUnstable,Dry,Neutral,Down,SVR,Strong,SVR,MoreThanAve,CThruK,Strong,Average,Other,PC,QStationary,PC,LittleChange,Neutral,StrongUp,Neutral,DCVZFavor,CloseToDryAd,IncCapDecIns,Moderate,Jul16_Aug10,N5GtLIGt_8,Neutral,PartInhibit,Marked,None,Other,Neutral,Average,Strong,LowAtStation,PC,LVorOther,Moderate,Average,J
Instability,ABI,Neutral,PosToNeg,DenvCyclone,ACEFK,SVR,A,Wet,Increasing,Cloudy,Strong,StrongFront,XNIL,SWQuad,ModerateOrLe,Weak,MoreUnstable,Neutral,WeakUp,StronUp,XNIL,None,SVR,Average,AB,Strong,VeryMoist,E_W_S,Clear,QStationary,Cloudy,Increasing,Neutral,Neutral,WeakUp,Westerly,Steep,IncCapDecIns,Moderate,Aug11_Aug20,N5GtLIGt_8,Neutral,PartInhibit,Marked,PartInhibit,DryMMoistL,Neutral,MoreUnstable,None,LowMtsHighPl,Cloudy,LVorOther,Slight,LessThanAve,A
Instability,CDEJ,Dry,LittleChange,WidespdDnsl,ACEFK,SVR,E,Dry,Increasing,Cloudy,Weak,NoMajor,XNIL,SWQuad,ModerateOrLe,Weak,Average,Neutral,WeakUp,WeakUp,XNIL,None,SVR,MoreThanAve,CThruK,Strong,Average,E_W_N,Clear,None,Cloudy,LittleChange,Neutral,StrongUp,WeakUp,DCVZFavor,Steep,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,Down,PartInhibit,Marked,PartInhibit,MoistMDryL,Neutral,MoreUnstable,Strong,LowSHighN,Cloudy,Westerly,None,Average,E
Neutral,CDEJ,Wet,LittleChange,LongAnticyc,ACEFK,SIG,E,Dry,LittleChange,PC,Weak,OtherRapid,XNIL,SWQuad,CloseToDryAd,Strong,MoreUnstable,VeryWet,Neutral,StronUp,XNIL,Weak,SIG,Average,CThruK,Strong,Average,E_W_N,PC,None,Cloudy,Increasing,Dry,Down,Neutral,Westerly,ModerateOrLe,LittleChange,Weak,Jul16_Aug10,N1GtLIGt_4,Neutral,PartInhibit,Some,Stifling,MoistMDryL,StrongPos,Average,Strong,LowEvrywhere,PC,Westerly,None,Average,E
Neutral,K,Wet,SigNegative,WidespdDnsl,ACEFK,XNIL,K,Neutral,Decreasing,PC,None,StrongFront,XNIL,NWQuad,Steep,Weak,Average,Wet,Down,Neutral,XNIL,None,XNIL,Average,CThruK,None,Dry,DryLine,Cloudy,QStationary,Cloudy,LittleChange,VeryWet,WeakUp,Down,DCVZFavor,ModerateOrLe,DecCapIncIns,Weak,Jul2_Jul15,N1GtLIGt_4,Down,PartInhibit,None,Stifling,Other,Neutral,Average,None,LowMtsHighPl,PC,Westerly,Moderate,MoreThanAve,K
Stability,H,Dry,SigNegative,E_NE,HI,SIG,H,Dry,LittleChange,PC,Weak,NoMajor,SIG,NWQuad,ModerateOrLe,None,Average,Neutral,StrongUp,StronUp,SIG,Weak,XNIL,Average,CThruK,Strong,Dry,E_W_N,PC,None,PC,LittleChange,Neutral,StrongUp,StrongUp,Other,CloseToDryAd,LittleChange,Weak,Jul2_Jul15,N1GtLIGt_4,Neutral,PartInhibit,None,PartInhibit,DryMMoistL,WeakPos,Average,None,Other,Cloudy,Westerly,None,Average,H
Stability,G,VeryWet,SigPositive,LongAnticyc,GJ,SIG,G,Dry,LittleChange,Clear,Strong,NoMajor,XNIL,NWQuad,CloseToDryAd,Weak,LessUnstable,VeryWet,Neutral,Neutral,XNIL,None,SIG,Average,CThruK,Strong,Dry,DryLine,Clear,None,PC,Decreasing,Dry,Down,Neutral,DCVZFavor,CloseToDryAd,LittleChange,Strong,May15_Jun14,N5GtLIGt_8,Down,PartInhibit,Marked,Stifling,MoistMDryL,WeakPos,Average,Weak,LowAtStation,Clear,LVorOther,Slight,Average,G
Stability,ABI,Neutral,LittleChange,DenvCyclone,HI,SVR,I,VeryWet,Decreasing,PC,Strong,NoMajor,SIG,SWQuad,Steep,None,LessUnstable,Dry,StrongUp,WeakUp,SIG,None,SVR,LessThanAve,CThruK,Strong,Dry,DenvCyclone,Clear,QStationary,PC,LittleChange,Dry,StrongUp,StrongUp,Other,ModerateOrLe,DecCapIncIns,Moderate,Aug20_Sep15,N5GtLIGt_8,StrongUp,Stifling,None,None,Other,WeakPos,LessUnstable,None,LowSHighN,PC,Westerly,Strong,Average,I
Neutral,ABI,Wet,PosToNeg,DenvCyclone,B,SIG,B,Neutral,Increasing,Clear,Strong,NoMajor,XNIL,AllElse,ModerateOrLe,None,LessUnstable,Wet,StrongUp,StronUp,XNIL,None,SIG,MoreThanAve,AB,Strong,Dry,DenvCyclone,Clear,Other,PC,Decreasing,Neutral,Neutral,StrongUp,Other,Steep,IncCapDecIns,Unfavorable,Jul2_Jul15,N5GtLIGt_8,StrongUp,PartInhibit,Marked,Stifling,MoistMDryL,Negative,Average,None,LowMtsHighPl,PC,LVorOther,None,Average,B
Instability,CDEJ,Neutral,LittleChange,LV,GJ,SIG,J,Neutral,Increasing,Clear,Weak,NoMajor,XNIL,LV,Steep,Strong,MoreUnstable,Neutral,Neutral,StronUp,XNIL,Strong,SIG,LessThanAve,CThruK,Strong,Dry,DryLine,Clear,Other,PC,LittleChange,Neutral,WeakUp,Neutral,DCVZFavor,Steep,IncCapDecIns,Weak,Aug11_Aug20,N1GtLIGt_4,Down,PartInhibit,Marked,None,Other,WeakPos,MoreUnstable,Strong,LowSHighN,Clear,LVorOther,Moderate,LessThanAve,J
Stability,K,Neutral,NegToPos,WidespdDnsl,ACEFK,SVR,K,Dry,Increasing,Clear,Weak,OtherRapid,SIG,NWQuad,Steep,Weak,MoreUnstable,Wet,StrongUp,Neutral,SVR,None,SIG,LessThanAve,CThruK,Strong,Dry,DryLine,Cloudy,None,Clear,Increasing,Neutral,StrongUp,StrongUp,Westerly,ModerateOrLe,IncCapDecIns,Weak,Aug20_Sep15,N1GtLIGt_4,Down,None,Some,TotalInhibit,MoistMDryL,WeakPos,MoreUnstable,Strong,Other,PC,Westerly,None,LessThanAve,K
Instability,ABI,Neutral,LittleChange,SEQuad,B,SIG,B,Dry,LittleChange,Clear,None,NoMajor,SIG,AllElse,Stable,Weak,Average,Neutral,Down,WeakUp,SIG,Weak,XNIL,LessThanAve,AB,None,VeryMoist,DenvCyclone,PC,QStationary,PC,Decreasing,Neutral,Down,Down,DCVZFavor,CloseToDryAd,LittleChange,Moderate,May15_Jun14,LILt_8,Down,PartInhibit,None,Stifling,DryMMoistL,Negative,Average,None,LowMtsHighPl,Clear,Westerly,None,LessThanAve,B
Neutral,K,Neutral,SigPositive,LongAnticyc,ACEFK,XNIL,K,Neutral,Increasing,Cloudy,None,MarkedUpper,XNIL,NWQuad,Stable,None,LessUnstable,Dry,Down,Down,XNIL,None,XNIL,LessThanAve,CThruK,None,Dry,E_W_N,Cloudy,Moving,PC,LittleChange,Neutral,Down,Down,StrongWest,Steep,IncCapDecIns,Moderate,Jul16_Aug10,N1GtLIGt_4,WeakUp,None,None,PartInhibit,Other,WeakPos,LessUnstable,None,Other,Cloudy,Westerly,None,LessThanAve,K
Instability,CDEJ,Neutral,SigPositive,SEQuad,D,SIG,D,Neutral,Increasing,Clear,Weak,MarkedUpper,XNIL,SWQuad,ModerateOrLe,Weak,MoreUnstable,Wet,WeakUp,Neutral,XNIL,Weak,SIG,Average,CThruK,Strong,Dry,DryLine,Clear,None,Cloudy,Decreasing,Neutral,Neutral,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Moderate,Aug11_Aug20,N5GtLIGt_8,StrongUp,PartInhibit,Marked,PartInhibit,DryMMoistL,Negative,MoreUnstable,Weak,LowMtsHighPl,Clear,Westerly,Slight,Average,D
Neutral,K,VeryWet,NegToPos,SEQuad,ACEFK,XNIL,K,Neutral,Decreasing,Clear,None,StrongFront,XNIL,AllElse,Steep,None,Average,VeryWet,StrongUp,StronUp,XNIL,None,XNIL,LessThanAve,CThruK,None,Average,None,PC,None,Clear,LittleChange,VeryWet,Neutral,StrongUp,Other,CloseToDryAd,DecCapIncIns,Unfavorable,May15_Jun14,LIGt0,StrongUp,PartInhibit,None,Stifling,Other,WeakPos,Average,None,LowAtStation,Clear,Westerly,None,LessThanAve,K
Instability,G,Neutral,SigNegative,LongAnticyc,GJ,SIG,G,Wet,LittleChange,PC,Weak,MarkedUpper,SIG,NWQuad,CloseToDryAd,Strong,Average,Neutral,Neutral,StronUp,XNIL,Weak,SIG,MoreThanAve,CThruK,Strong,Average,DryLine,Cloudy,None,PC,Decreasing,Dry,Down,Neutral,DCVZFavor,CloseToDryAd,LittleChange,Moderate,Jun15_Jul1,N5GtLIGt_8,StrongUp,PartInhibit,Some,None,MoistMDryL,Negative,MoreUnstable,Strong,LowEvrywhere,PC,Westerly,Strong,MoreThanAve,G
Neutral,CDEJ,Neutral,LittleChange,LV,ACEFK,SVR,E,Neutral,Decreasing,Clear,Strong,NoMajor,XNIL,SWQuad,Steep,Strong,LessUnstable,Neutral,Neutral,StronUp,XNIL,Weak,SVR,Average,CThruK,Strong,Average,E_W_N,Clear,None,Clear,LittleChange,Neutral,Neutral,Neutral,DCVZFavor,ModerateOrLe,DecCapIncIns,Moderate,May15_Jun14,N1GtLIGt_4,Neutral,PartInhibit,Some,PartInhibit,DryMMoistL,WeakPos,LessUnstable,Strong,LowNHighS,Clear,LVorOther,None,Average,E
Instability,CDEJ,Dry,SigNegative,LV,D,SIG,D,Dry,Increasing,Cloudy,Weak,MarkedUpper,XNIL,NWQuad,Stable,Weak,Average,Dry,Neutral,Neutral,XNIL,Weak,SIG,Average,CThruK,Weak,Dry,DryLine,PC,None,Cloudy,Decreasing,Neutral,Neutral,Neutral,DCVZFavor,Steep,IncCapDecIns,Moderate,May15_Jun14,N1GtLIGt_4,WeakUp,PartInhibit,Some,Stifling,Other,Neutral,MoreUnstable,Weak,LowNHighS,PC,Westerly,Moderate,Average,D
Neutral,H,Neutral,SigPositive,SEQuad,HI,SIG,H,VeryWet,Increasing,Clear,Strong,MarkedUpper,SVR,SWQuad,Stable,None,MoreUnstable,Wet,StrongUp,StronUp,SIG,None,SIG,MoreThanAve,CThruK,Strong,VeryMoist,E_W_S,Clear,None,PC,Increasing,Neutral,StrongUp,StrongUp,Westerly,CloseToDryAd,IncCapDecIns,Weak,Aug20_Sep15,N1GtLIGt_4,Neutral,Stifling,Some,None,DryMMoistL,StrongPos,Average,None,HighEvrywher,Cloudy,LVorOther,None,MoreThanAve,H
Instability,CDEJ,Neutral,LittleChange,LV,GJ,SIG,J,Neutral,Increasing,PC,Weak,NoMajor,XNIL,LV,Steep,Weak,MoreUnstable,Neutral,WeakUp,StronUp,XNIL,Weak,SIG,MoreThanAve,CThruK,Weak,Average,DryLine,Cloudy,None,PC,Increasing,Neutral,Neutral,WeakUp,DCVZFavor,CloseToDryAd,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,Neutral,PartInhibit,Some,PartInhibit,DryMMoistL,StrongPos,MoreUnstable,Weak,HighEvrywher,PC,LVorOther,Slight,Average,J
Stability,G,Dry,PosToNeg,WidespdDnsl,GJ,SVR,G,Dry,LittleChange,Clear,None,NoMajor,SVR,SWQuad,CloseToDryAd,Strong,MoreUnstable,Dry,Neutral,Neutral,SVR,Strong,XNIL,Average,CThruK,None,Dry,DryLine,Clear,Other,PC,Increasing,Dry,Neutral,Neutral,Westerly,CloseToDryAd,LittleChange,Moderate,May15_Jun14,LILt_8,WeakUp,PartInhibit,None,None,Other,WeakPos,Average,None,LowEvrywhere,Clear,Westerly,Strong,Average,G
Instability,ABI,Neutral,PosToNeg,DenvCyclone,B,SVR,B,Neutral,Increasing,Clear,Weak,MarkedUpper,SVR,SWQuad,Steep,None,Average,Dry,Down,Neutral,SVR,None,XNIL,Average,AB,Strong,VeryMoist,DenvCyclone,PC,Other,Clear,LittleChange,Dry,Down,Down,Other,Steep,IncCapDecIns,Moderate,Jun15_Jul1,N1GtLIGt_4,WeakUp,PartInhibit,Some,Stifling,Other,Neutral,Average,None,LowNHighS,Clear,LVorOther,None,LessThanAve,B
Neutral,ABI,VeryWet,PosToNeg,E_NE,HI,SIG,I,VeryWet,LittleChange,Clear,Weak,StrongFront,XNIL,AllElse,Steep,Strong,Average,Wet,Down,Down,XNIL,Weak,SIG,MoreThanAve,CThruK,Strong,VeryMoist,E_W_N,Cloudy,QStationary,Clear,LittleChange,VeryWet,Down,Down,Westerly,CloseToDryAd,LittleChange,Weak,Jul16_Aug10,N1GtLIGt_4,WeakUp,Stifling,Some,None,DryMMoistL,Negative,Average,Weak,LowMtsHighPl,Clear,Westerly,None,MoreThanAve,I
Instability,ABI,Neutral,SigNegative,DenvCyclone,HI,SVR,I,Neutral,Decreasing,Clear,None,MarkedUpper,SVR,SWQuad,Stable,Weak,MoreUnstable,Neutral,StrongUp,WeakUp,SVR,Strong,XNIL,LessThanAve,CThruK,None,Average,MovingFtorOt,Cloudy,QStationary,Clear,LittleChange,Neutral,StrongUp,StrongUp,Westerly,ModerateOrLe,DecCapIncIns,Moderate,May15_Jun14,N1GtLIGt_4,WeakUp,PartInhibit,None,None,DryMMoistL,Neutral,MoreUnstable,None,LowSHighN,Clear,LVorOther,Moderate,Average,I
Stability,ABI,Dry,SigPositive,E_NE,B,SVR,B,Wet,Increasing,PC,Strong,NoMajor,SIG,LV,Steep,Strong,LessUnstable,Dry,Down,Neutral,SIG,Weak,SVR,LessThanAve,AB,Strong,Average,DenvCyclone,Clear,Other,PC,LittleChange,Dry,Down,Down,StrongWest,ModerateOrLe,IncCapDecIns,Unfavorable,Aug20_Sep15,LIGt0,Neutral,PartInhibit,Marked,None,DryMMoistL,Neutral,LessUnstable,Strong,LowAtStation,PC,LVorOther,Moderate,LessThanAve,B
Stability,ABI,Neutral,LittleChange,DenvCyclone,B,SIG,B,Wet,Increasing,Clear,Weak,NoMajor,SIG,LV,Stable,Strong,Average,Neutral,Down,WeakUp,SIG,Strong,XNIL,Average,AB,Weak,Average,DenvCyclone,Clear,None,Clear,Increasing,Dry,Down,Down,DCVZFavor,Steep,IncCapDecIns,Moderate,Jul2_Jul15,N5GtLIGt_8,Neutral,Stifling,Some,Stifling,MoistMDryL,Neutral,LessUnstable,None,LowMtsHighPl,Clear,LVorOther,None,LessThanAve,B
Stability,CDEJ,Neutral,LittleChange,LongAnticyc,ACEFK,SIG,E,Dry,Increasing,Cloudy,None,OtherRapid,XNIL,SWQuad,ModerateOrLe,None,LessUnstable,Neutral,Neutral,Down,SIG,None,XNIL,MoreThanAve,CThruK,None,Average,None,Cloudy,None,PC,LittleChange,Neutral,WeakUp,Neutral,StrongWest,ModerateOrLe,IncCapDecIns,Moderate,Jul2_Jul15,LIGt0,Neutral,None,None,Stifling,MoistMDryL,StrongPos,LessUnstable,None,LowAtStation,Cloudy,LVorOther,None,LessThanAve,E
Stability,CDEJ,Wet,SigPositive,LongAnticyc,ACEFK,SIG,C,VeryWet,LittleChange,Clear,Strong,NoMajor,XNIL,NWQuad,ModerateOrLe,Strong,Average,Neutral,Neutral,Neutral,XNIL,Strong,SIG,LessThanAve,CThruK,Strong,Average,None,Clear,Other,Clear,Decreasing,Neutral,Neutral,Neutral,Westerly,CloseToDryAd,LittleChange,Weak,May15_Jun14,LILt_8,Neutral,None,Some,None,Other,Negative,Average,Strong,LowNHighS,Clear,Westerly,Moderate,LessThanAve,C
Neutral,ABI,Neutral,LittleChange,DenvCyclone,B,SIG,B,Dry,Decreasing,Clear,Strong,MarkedUpper,XNIL,LV,Steep,Strong,LessUnstable,Wet,WeakUp,StronUp,XNIL,Strong,SIG,LessThanAve,AB,Strong,Average,DenvCyclone,Clear,None,Clear,Increasing,VeryWet,Down,WeakUp,DCVZFavor,CloseToDryAd,DecCapIncIns,Moderate,May15_Jun14,LIGt0,WeakUp,PartInhibit,Marked,PartInhibit,DryMMoistL,WeakPos,LessUnstable,Weak,LowMtsHighPl,Clear,Westerly,None,LessThanAve,B
Neutral,ABI,Dry,SigNegative,E_NE,B,SVR,B,Neutral,LittleChange,Clear,Strong,NoMajor,SIG,AllElse,Steep,None,MoreUnstable,Dry,Neutral,StronUp,SIG,None,SVR,MoreThanAve,AB,Strong,VeryMoist,DenvCyclone,PC,Other,Clear,Increasing,Dry,Neutral,Neutral,Other,Steep,LittleChange,Strong,May15_Jun14,N1GtLIGt_4,WeakUp,Stifling,None,Stifling,DryMMoistL,WeakPos,MoreUnstable,None,HighEvrywher,Clear,LVorOther,None,MoreThanAve,B
